u,v,key,osmid,bridge,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,width
345277850,10982104589,0,203600639,yes,secondary,Terminal 2B Road,True,False,172.87444615668778,"LINESTRING (77.086337 28.5589106, 77.0863956 28.5589296, 77.086497 28.5589387, 77.0865879 28.5589275, 77.086674 28.5589036, 77.0867418 28.558873, 77.0870766 28.5586504, 77.0877589 28.5582091, 77.0877811 28.5581808, 77.0877897 28.5581456)",,,
345277850,10982104589,1,1182649214,yes,secondary_link,,True,False,188.2285491459379,"LINESTRING (77.086337 28.5589106, 77.0864627 28.5589686, 77.0866146 28.5590057, 77.0866683 28.5590098, 77.086719 28.5590067, 77.0867708 28.5589927, 77.0868225 28.5589714, 77.0869734 28.5588721, 77.0877413 28.5583669, 77.0877642 28.5583417, 77.0877799 28.5583072, 77.0877864 28.5582753, 77.0877897 28.5581456)",,,
413760666,413760670,0,605255362,,secondary_link,,True,False,19.618147758701884,"LINESTRING (77.091219 28.5568201, 77.0911665 28.5568346, 77.0911449 28.5568488, 77.091135 28.5568728, 77.0911359 28.556927, 77.0911391 28.5569515)",,,
413760666,2353491223,0,1241594196,,secondary,Terminal 2B Road,True,False,399.6468358463813,"LINESTRING (77.091219 28.5568201, 77.0909808 28.5568013, 77.0907509 28.5567453, 77.089872 28.556666, 77.0896867 28.5566604, 77.0895276 28.5566689, 77.0893371 28.5566964, 77.0879075 28.5570364, 77.087227 28.5572195)",,,
949748079,413760670,0,605255357,,secondary,,True,False,240.45945993509756,"LINESTRING (77.0887152 28.5569539, 77.0893633 28.5568064, 77.0895187 28.5567894, 77.0896736 28.556786, 77.089832 28.5567927, 77.0906936 28.5568727, 77.0909332 28.5569318, 77.0911391 28.5569515)",3,,
1377318095,1794070301,0,1241594197,,secondary,IGI Airport T3 Road,True,False,111.51640860019633,"LINESTRING (77.0906243 28.5559374, 77.0917301 28.5556876)",4,,
1794068380,1794068404,0,"[168099461, 1241594199]",,secondary,Indira Gandhi International Airport Arrival Road,True,False,1199.2856299442387,"LINESTRING (77.0922392 28.5531978, 77.092003 28.5531227, 77.0918479 28.5530848, 77.0917252 28.553068, 77.091611 28.553066, 77.091489 28.5530793, 77.0913797 28.5531063, 77.0871305 28.554109, 77.0870566 28.5541318, 77.0870015 28.554169, 77.0869634 28.5542108, 77.0869287 28.5542688, 77.0869076 28.5543272, 77.086827 28.5546066, 77.0867856 28.5547031, 77.0867374 28.5547839, 77.0866944 28.5548485, 77.086535 28.5550878, 77.0863417 28.5553779, 77.0857165 28.5563167, 77.0855908 28.5565113, 77.0855471 28.5565909, 77.0855475 28.5566233, 77.0855583 28.5566563, 77.0855791 28.5566912, 77.0856141 28.5567171, 77.0856645 28.556737, 77.0857145 28.5567416, 77.0857757 28.5567387, 77.0873735 28.5563725, 77.0878852 28.5562486, 77.0881602 28.5561741, 77.0884493 28.5561168, 77.0886449 28.5560898, 77.088849 28.5560838, 77.0890596 28.5560841)",,20,
1794068380,1794068404,1,"[188128802, 461792165, 168099464, 1241594198, 123543038]",yes,secondary,"['IGI Airport T3 Road', 'Indira Gandhi International Airport Departure Road']",True,False,1383.7892090755263,"LINESTRING (77.0922392 28.5531978, 77.091982 28.5530511, 77.0918784 28.5530093, 77.0917736 28.5529841, 77.0916765 28.5529688, 77.0915975 28.552965, 77.0915007 28.5529663, 77.0914137 28.5529767, 77.0913308 28.5529933, 77.090665 28.5531504, 77.0868517 28.5540687, 77.0866223 28.5541463, 77.086497 28.5541995, 77.086407 28.5542542, 77.0863475 28.5542996, 77.0863005 28.5543467, 77.0862564 28.5544015, 77.0862113 28.5544696, 77.0860314 28.5547412, 77.0858404 28.5550296, 77.085655 28.5553095, 77.0852798 28.555876, 77.0851008 28.5561464, 77.0849677 28.5563524, 77.0847475 28.5566808, 77.0847177 28.5567248, 77.0847002 28.5567569, 77.0846886 28.5568101, 77.0846885 28.5568449, 77.084697 28.5568871, 77.0847259 28.5569373, 77.0847602 28.5569731, 77.0848146 28.5570055, 77.0848733 28.5570273, 77.0849513 28.5570361, 77.0850093 28.5570346, 77.0851336 28.5570112, 77.0851867 28.5569985, 77.0862156 28.5567535, 77.0869817 28.5565668, 77.0883571 28.5562317, 77.0890596 28.5560841)","['3', '4']",,
1794068404,4572504360,0,1241594197,,secondary,IGI Airport T3 Road,True,False,42.24400604329153,"LINESTRING (77.0890596 28.5560841, 77.0894914 28.5560621)",4,,
1794070257,1377318095,0,167949827,,unclassified,,True,False,194.42709613268966,"LINESTRING (77.0915979 28.5552253, 77.0912793 28.5552962, 77.0907227 28.5554206, 77.090492 28.5554751, 77.0904139 28.5555043, 77.0903611 28.5555447, 77.0903062 28.5556173, 77.0902872 28.5556901, 77.0902948 28.5557644, 77.0903281 28.555833, 77.090384 28.5558892, 77.0904569 28.5559275, 77.0905397 28.5559441, 77.0906243 28.5559374)",,,
1794070301,1987508656,0,1241594197,,secondary,IGI Airport T3 Road,True,False,202.15988017826723,"LINESTRING (77.0917301 28.5556876, 77.0937295 28.5552173)",4,,
1794070301,1794070257,0,168099609,,unclassified,,True,False,82.7807238264887,"LINESTRING (77.0917301 28.5556876, 77.091816 28.5556538, 77.0918836 28.5555962, 77.0919247 28.5555217, 77.0919344 28.5554395, 77.0919114 28.5553592, 77.0918587 28.5552907, 77.0917824 28.5552422, 77.0916918 28.5552195, 77.0915979 28.5552253)",1,,5
2353491223,345277850,0,"[81511977, 203600639]",yes,secondary,Terminal 2B Road,True,False,311.4197842090547,"LINESTRING (77.087227 28.5572195, 77.0868636 28.5573618, 77.0859256 28.5576014, 77.085873 28.5576268, 77.0858242 28.5576551, 77.0857775 28.557693, 77.0857416 28.5577342, 77.0857113 28.5577826, 77.0856876 28.5578475, 77.0856799 28.5579184, 77.0856895 28.5579977, 77.0857098 28.5580935, 77.0857476 28.5582112, 77.0857991 28.5583271, 77.085851 28.5584229, 77.0859177 28.558524, 77.0859828 28.5586155, 77.0861032 28.5587444, 77.0861904 28.558817, 77.0862789 28.5588815, 77.086337 28.5589106)",,,
2353491223,10982125359,0,"[461791840, 735028992]",,unclassified,,True,False,199.3647917939794,"LINESTRING (77.087227 28.5572195, 77.0868194 28.5572834, 77.0858926 28.5574999, 77.0857829 28.5574854, 77.0856961 28.5574645, 77.0852873 28.5572657)",,,
2353491223,2353491228,0,1241594194,,secondary,T2 Arrival Road,True,False,28.53521074067382,"LINESTRING (77.087227 28.5572195, 77.0871329 28.5572791, 77.087088 28.5573188, 77.0870511 28.5573659, 77.0870284 28.5574024)",,,
2353491228,10982117547,0,226565138,,secondary,T2 Arrival Road,True,False,192.21303535587666,"LINESTRING (77.0870284 28.5574024, 77.0869641 28.5574637, 77.0869244 28.5574857, 77.086879 28.557501, 77.0864241 28.5575741, 77.0862624 28.5576074, 77.085997 28.5576686, 77.0859498 28.557685, 77.0859023 28.5577123, 77.0858606 28.5577468, 77.0858309 28.5577833, 77.085805 28.5578283, 77.0857901 28.5578745, 77.0857829 28.5579218, 77.0857851 28.5579712, 77.085799 28.5580375, 77.0858261 28.5581226, 77.0858574 28.5581953, 77.0858821 28.5582322, 77.0859261 28.5582679, 77.0859806 28.5582931)",,,
2353491228,2353491237,0,686694864,,secondary,,True,False,40.270694940739524,"LINESTRING (77.0870284 28.5574024, 77.0870133 28.5574344, 77.0870087 28.5574579, 77.0870116 28.5575012, 77.0870235 28.5575538, 77.0870547 28.5576125, 77.0870853 28.5576489, 77.0871211 28.557676, 77.0871799 28.5576953)",,,
2353491237,10982117566,0,1241594195,,secondary,T2 Arrival Road,True,False,18.94751460942816,"LINESTRING (77.0871799 28.5576953, 77.0873717 28.5577209)",,,
4572503843,6883916918,0,1182649963,,unclassified,,False,False,36.90103616008225,"LINESTRING (77.0847696 28.5574621, 77.084849 28.5573461, 77.0849002 28.5572901, 77.0849655 28.5572382, 77.0850092 28.5572105)",,,
4572504342,4572504360,0,461791855,,unclassified,,True,False,419.2919952696238,"LINESTRING (77.0853547 28.5570681, 77.0891976 28.5561521, 77.0894914 28.5560621)",,,
4572504360,1377318095,0,1241594197,,secondary,IGI Airport T3 Road,True,False,111.62912725478026,"LINESTRING (77.0894914 28.5560621, 77.0901836 28.5560044, 77.0904446 28.5559728, 77.0906243 28.5559374)",4,,
6883916918,4572504342,0,461791855,,unclassified,,True,False,37.28448156179373,"LINESTRING (77.0850092 28.5572105, 77.0850588 28.557187, 77.0853547 28.5570681)",,,
6883916918,4572503843,0,1182649963,,unclassified,,False,True,36.90103616008225,"LINESTRING (77.0850092 28.5572105, 77.0849655 28.5572382, 77.0849002 28.5572901, 77.084849 28.5573461, 77.0847696 28.5574621)",,,
10982104589,949748079,0,"[1182649213, 203600639]",yes,secondary,Terminal 2B Road,True,False,230.38640491975983,"LINESTRING (77.0877897 28.5581456, 77.0877836 28.5580995, 77.0877699 28.5580543, 77.0876306 28.5577827, 77.0875659 28.5576791, 77.0874208 28.5575075, 77.0874095 28.5574808, 77.0874065 28.5574505, 77.0874134 28.5574195, 77.0874284 28.5573919, 77.0875557 28.5572885, 77.0875966 28.5572633, 77.087652 28.5572355, 77.088153 28.5570912, 77.0887152 28.5569539)",,,
10982117547,2353491237,0,226565138,,secondary,T2 Arrival Road,True,False,138.46345243242646,"LINESTRING (77.0859806 28.5582931, 77.0860452 28.5583006, 77.0861064 28.558299, 77.0861632 28.5582809, 77.0863089 28.5581817, 77.0868434 28.5578286, 77.0869719 28.5577467, 77.0870355 28.5577188, 77.0871031 28.5577, 77.0871799 28.5576953)",,,
10982117547,10982117566,0,1182646855,,secondary_link,,True,False,157.72404797668597,"LINESTRING (77.0859806 28.5582931, 77.0860753 28.5583147, 77.0861444 28.5583232, 77.0862125 28.5583291, 77.0862701 28.5583291, 77.0863219 28.5583232, 77.0863669 28.5583076, 77.0864197 28.5582827, 77.0872257 28.5577518, 77.087259 28.5577343, 77.087301 28.5577237, 77.0873717 28.5577209)",,,
10982117566,949748079,0,1241594195,,secondary,T2 Arrival Road,True,False,167.95542941507668,"LINESTRING (77.0873717 28.5577209, 77.0874292 28.5577286, 77.0875307 28.5577312, 77.0876481 28.5577206, 77.087715 28.5577095, 77.0877907 28.5576841, 77.0878465 28.5576365, 77.0878936 28.5575825, 77.0880189 28.5573399, 77.0880522 28.5572948, 77.0880929 28.5572525, 77.0881557 28.5572109, 77.0887152 28.5569539)",,,
10982125359,6883916918,0,1182649964,,unclassified,,True,False,28.367435216686303,"LINESTRING (77.0852873 28.5572657, 77.0851426 28.5572157, 77.0850923 28.5572075, 77.0850483 28.5572046, 77.0850092 28.5572105)",,,
